a,b,c,n,l,m,quality,m is not a proper divisor of b
1,8212709375,8212709376,90624,2,3125,1.0255,False
1,8212890624,8212890625,90625,2,512,1.0585,False
1,8882874000,8882874001,307,4,18000,1.0301,False
1,8930439000,8930439001,94501,2,27000,1.0062,False
1,9183580560,9183580561,95831,2,262388016,1.0050,False
1,9447645600,9447645601,97199,2,97200,1.0409,False
1,9447839999,9447840000,97200,2,1369,1.0092,False
1,9595703124,9595703125,2125,3,5292,1.0174,False
1,9685512224,9685512225,98415,2,32,1.0028,False
1,9701265024,9701265025,98495,2,6899904,1.0338,False
1,10070323200,10070323201,100351,2,22579200,1.0342,False
1,10251360000,10251360001,101249,2,3240000,1.0672,False
1,10251562499,10251562500,101250,2,5329,1.0401,False
1,10251765000,10251765001,101251,2,45000,1.1095,False
1,10474708671,10474708672,2188,3,6561,1.0310,False
1,10604499372,10604499373,13,9,108,1.0143,False
1,10618986391,10618986392,2198,3,11707813,1.0808,False
1,10659943008,10659943009,103247,2,311904,1.0255,False
1,10779215328,10779215329,47,6,288,1.0009,False
1,10779422975,10779422976,103824,2,2595575,1.0423,False
1,11019750624,11019750625,104975,2,209952,1.0226,False
1,11156429375,11156429376,105624,2,105625,1.0224,False
1,11156640624,11156640625,325,4,432,1.0547,False
1,11341185024,11341185025,106495,2,16384,1.0167,False
1,11341398015,11341398016,106496,2,3249,1.0351,False
1,11588091903,11588091904,107648,2,243,1.0146,False
1,11588307200,11588307201,107649,2,107648,1.1284,False
1,11728027647,11728027648,2272,3,90601,1.0867,False
1,11962890624,11962890625,109375,2,128,1.0267,False
1,11963109375,11963109376,109376,2,84375,1.0999,False
1,11991126015,11991126016,109504,2,1472207,1.0755,False
1,12117386240,12117386241,110079,2,1024,1.0053,False
1,12230590463,12230590464,48,6,49,1.0067,False
1,12230811648,12230811649,110593,2,110592,1.1624,False
1,12859333200,12859333201,113399,2,10378800,1.0613,False
1,12897917760,12897917761,337,4,10816,1.0091,False
1,13051463048,13051463049,114243,2,1003958696,1.1429,False
1,13167792000,13167792001,114751,2,432000,1.0215,False
1,13282332000,13282332001,115249,2,9604000,1.0075,False
1,13493377920,13493377921,116161,2,899558528,1.0165,False
1,13718734128,13718734129,117127,2,9487368,1.0935,False
1,13747328000,13747328001,117249,2,128000,1.0079,False
1,13841051903,13841051904,117648,2,117649,1.0557,False
1,13841287200,13841287201,7,12,16,1.1784,False
1,13946901408,13946901409,118097,2,944784,1.1691,False
1,13947373800,13947373801,118099,2,3936600,1.0543,False
1,14003172224,14003172225,118335,2,236672,1.0056,False
1,14061216399,14061216400,118580,2,5248681,1.0489,False
